Symbol,ALF,ALF,ALF,average,healthy,healthy,count,t-test,fold change
AMBP,877.7951965,69.183814,494.796174,480.5917282,4984.174052,5118.937443,5051.555747,0.000649,0.09513737
EPB41L5,34.35533175,47.93896925,42.7644785,41.68625983,182.1945758,206.1993048,194.1969403,0.000669,0.214659715
OXR1,24.540673,33.4450944,29.636728,29.20749847,82.2437712,79.4108626,80.8273169,0.000672,0.361356774
HAO2,40.445814,37.2603755,22.2243825,33.31019067,1018.765809,1214.548012,1116.656911,0.000673,0.0298302821
PPM1B,55.748987,66.646216,99.9945415,74.12991483,616.463064,537.5983875,577.0307258,0.000673,0.128467881
AUH,40.846272,44.463502,69.158712,51.48949533,487.920421,570.044185,528.982303,0.000696,0.0973368958
ACSL1,75.644242,109.3479535,199.533417,128.1752042,3425.713935,2882.875275,3154.294605,0.000703,0.0406351404
CA2,22.129309,18.004965,32.974811,24.369695,693.915525,828.933808,761.4246665,0.000704,0.0320053921
WNK1,355.9057324,358.7374977,366.9707839,360.5380047,221.7458853,196.2635303,209.0047078,0.000705,1.725023367
KCTD9,33.27502,30.013315,41.439594,34.90930967,98.600201,100.869239,99.73472,0.00071,0.350021634
SETD7,70.2498265,58.2162475,121.109848,83.191974,488.752935,460.077943,474.415439,0.000719,0.175356802
EMP2,36.9292865,35.43087575,64.77729675,45.71248633,222.868253,226.9149683,224.8916106,0.00072,0.203264525
SLC6A1,31.947268,11.181849,12.415189,18.51476867,201.076521,229.291379,215.18395,0.000723,0.0860415875
RDX,30.85350025,56.45338975,35.01554775,40.77414592,226.6868043,208.4203722,217.5535883,0.000729,0.18742116
MTCH2,110.287682,86.066709,167.816277,121.3902227,921.116762,1060.325555,990.7211583,0.000734,0.122527133
ZG16B,43.745866,39.874376,39.422612,41.01428467,15.657352,15.550364,15.603858,0.000735,2.628470771
C10orf32,24.815176,15.343034,163.496829,67.885013,969.695532,1024.175402,996.935467,0.000744,0.0680936884
EAF2,9.112904667,9.469987667,9.128551333,9.237147889,24.972735,22.27652333,23.62462917,0.000763,0.390996524
LAMTOR3,29.3760685,38.871575,68.885442,45.7110285,287.0027725,311.836052,299.4194123,0.000766,0.152665547
MMADHC,41.207199,197.722342,318.666552,185.8653643,1646.606187,1657.557737,1652.081962,0.000768,0.112503719
CNTN3,11.68247,10.226118,45.734793,22.54779367,338.569882,298.89426,318.732071,0.000777,0.0707421553
DENND5B,25.4437722,18.368546,23.3129364,22.37508487,74.2341434,68.2741028,71.2541231,0.000795,0.314018107
MROH1,112.3450468,102.9133295,106.2802815,107.1795526,44.37302825,50.79623175,47.58463,0.000809,2.252398571
RHOU,161.4880705,110.308154,131.601012,134.4657455,482.335587,444.7309325,463.5332598,0.000813,0.290088667
SPTBN5,81.633102,93.560392,86.742377,87.311957,25.373273,25.651806,25.5125395,0.000814,3.422315407
ANKRD52,326.685266,365.24084,341.252027,344.392711,103.251946,125.098711,114.1753285,0.000817,3.01634964
KRTAP5-9,53.528095,51.377851,52.617099,52.50768167,36.864088,38.73322,37.798654,0.00082,1.389141573
TMEM203,29.400938,41.574019,76.623355,49.19943733,347.127844,321.362232,334.245038,0.000822,0.147195715
RNF5,35.020963,36.743732,50.9182275,40.8943075,130.6110955,134.191403,132.4012493,0.000826,0.308866478
RHEB,46.35196222,83.69859233,94.54759911,74.86605122,333.4596191,336.9835122,335.2215657,0.000827,0.22333304
TCEAL1,20.036069,28.232532,34.556904,27.60850167,102.95419,106.746119,104.8501545,0.000828,0.263313886
TSG101,250.377067,207.860998,229.135051,229.124372,567.214016,522.661809,544.9379125,0.000831,0.420459591
GUF1,10.812958,17.149869,19.3394915,15.7674395,69.1850185,75.8408215,72.51292,0.000834,0.217443174
BZW1,36.7282575,149.1882485,248.374255,144.763587,1227.405734,1229.232137,1228.318935,0.000836,0.117855048
GRIA3,34.55102,38.1533134,36.8333112,36.5125482,15.4914402,13.1179254,14.3046828,0.000841,2.552489189
YIPF4,15.64077225,18.556986,17.7993705,17.33237625,45.64787375,50.90366225,48.275768,0.000843,0.359028493
USP9Y,6.1520605,12.957151,6.165735,8.424982167,71.3422715,62.9164735,67.1293725,0.000845,0.125503663
NDUFS2,166.035462,229.199848,233.639681,209.624997,698.565399,647.496536,673.0309675,0.000855,0.311464118
SDHB,15.5498345,27.3220705,25.7441575,22.87202083,203.9093365,241.282528,222.5959323,0.000866,0.102751297
TAOK2,100.5277983,96.28918933,103.4987577,100.1052484,62.536169,59.973904,61.2550365,0.000867,1.634237021
LOC158960,213.670631,210.633063,198.219519,207.5077377,121.308461,114.474965,117.891713,0.000869,1.760155421
PTS,91.778762,70.665903,165.158733,109.2011327,942.584903,825.079072,883.8319875,0.000876,0.123554176
ANAPC13,58.8368915,149.7258,218.248516,142.2704025,942.787489,955.5809855,949.1842373,0.00088,0.149887026
AGTR1,28.868136,35.607465,60.897398,41.79099967,329.8486535,382.6808275,356.2647405,0.000887,0.117303216
NUDC,234.367488,238.4490887,281.966697,251.5944246,517.3813617,515.369921,516.3756413,0.000888,0.487231396
NDNL2,54.491337,50.572219,53.403828,52.82246133,79.665308,76.627787,78.1465475,0.000893,0.675941075
PSMC2,66.79538567,102.5832243,169.7069763,113.0285288,685.6188553,648.3653457,666.9921005,0.000899,0.169460071
C5orf51,32.6118925,23.156217,42.85424,32.8741165,147.561595,162.0792165,154.8204058,0.000904,0.212337103
AK2,37.21322367,27.92116067,64.02287117,43.0524185,228.8185457,233.6223767,231.2204612,0.000907,0.186196404
RPP38,38.418597,36.234197,32.089766,35.58085333,79.961604,87.143208,83.552406,0.000908,0.425850733
FBXL19,188.447474,217.701087,192.954842,199.7011343,43.547123,42.988069,43.267596,0.000914,4.615489483
TMEM126B,41.373119,54.4325675,40.769701,45.52512917,219.786603,255.317433,237.552018,0.000919,0.19164278
UBR3,19.00565675,14.73972175,60.82746225,31.52428025,328.5171613,301.7199693,315.1185653,0.000935,0.100039426
NDUFAF1,22.848015,47.894733,64.817808,45.186852,279.4526,307.179148,293.315874,0.000944,0.154055256
WASF2,603.1870847,550.478549,574.8357403,576.1671247,302.268383,276.8309437,289.5496633,0.000954,1.989873233
SLCO4C1,9.591265,11.908516,8.099729,9.866503333,62.3327035,53.272203,57.80245325,0.000967,0.170693505
MAPKBP1,100.3175695,100.7351015,112.780584,104.611085,36.0804045,33.9568705,35.0186375,0.000973,2.987297407
SGMS1,14.383053,10.744405,29.148738,18.09206533,130.809929,120.228515,125.519222,0.000984,0.144137806
MCC,11.4316885,17.689272,75.0337735,34.71824467,408.104728,382.2957525,395.2002403,0.000995,0.087849756
HYAL1,240.213889,83.120848,259.763787,194.3661747,1292.910283,1440.824091,1366.867187,0.001003,0.142198289
GPR125,26.69859067,13.601861,66.59644933,35.63230033,317.6786847,344.722183,331.2004338,0.001005,0.107585307
AKAP10,292.156237,280.8454022,297.2491528,290.0835973,118.0231763,82.25730325,100.1402398,0.001006,2.896773544
NDUFV3,123.594667,151.857706,178.2302985,151.2275572,529.6430535,595.5853755,562.6142145,0.001008,0.268794412
RHPN2,45.047569,22.197676,47.196765,38.14733667,173.322029,182.446669,177.884349,0.001016,0.214450214
CNN3,29.02043,80.741884,63.921162,57.894492,413.784027,367.978409,390.881218,0.001032,0.14811275
TACO1,55.3955975,84.456698,99.8902235,79.914173,294.4720015,302.2681475,298.3700745,0.001033,0.267835751
KLF9,127.2030066,107.2758242,116.9969444,117.1585917,464.399051,401.1990628,432.7990569,0.001033,0.270699739
SCML1,37.233944,25.265178,90.614273,51.03779833,434.9704975,401.332565,418.1515312,0.001042,0.122055749
IER3IP1,73.2288555,35.805018,102.9300445,70.65463933,421.772403,397.710397,409.7414,0.001045,0.17243715
PSMB6,97.221157,220.931183,205.105959,174.419433,831.803141,808.85531,820.3292255,0.001056,0.212621259
GPHN,52.13567633,35.52850433,59.012565,48.89224856,164.2335437,162.4227573,163.3281505,0.001058,0.299349796
COQ10B,66.2941365,52.492893,96.130248,71.6390925,311.07263,291.726077,301.3993535,0.001058,0.237688275
NR2F2-AS1,29.441043,27.787088,28.1904,28.47284367,15.587143,17.443041,16.515092,0.001062,1.724049958
TRIM55,11.6595895,12.486758,10.5411,11.5624825,32.048302,36.4613255,34.25481375,0.001074,0.337543289
ZDHHC17,46.7495855,34.3716935,62.849946,47.99040833,184.159146,180.860174,182.50966,0.001089,0.262947223
MLF2,96.593747,75.613941,105.734936,92.64754133,244.507843,258.953129,251.730486,0.001099,0.368042595
MIR7110,114.25266,101.138276,185.775132,133.7220227,785.90537,693.314526,739.609948,0.0011,0.180800736
NUDT5,47.8965425,48.8252,125.6752185,74.13232033,660.7597425,764.5347975,712.64727,0.0011,0.104023861
CUX2,36.629429,17.83758,93.9133955,49.46013483,534.144788,476.2618205,505.2033043,0.001114,0.0979014476
FA2H,23.190463,24.322487,24.2552475,23.9227325,13.86406,11.839411,12.8517355,0.001122,1.861439842
NADK2,137.364036,40.34998433,132.6431133,103.4523779,736.2582423,834.9463087,785.6022755,0.001124,0.131685436
TMEM59,106.520729,52.878223,137.4172665,98.9387395,707.6235385,823.4778115,765.550675,0.001125,0.129238655
F11,62.17665175,39.73316725,33.24873525,45.05285142,199.6107888,188.43527,194.0230294,0.001142,0.232203628
SLPI,220.80033,133.221008,238.217727,197.4130217,1012.496006,1171.191857,1091.843932,0.001147,0.180806996
LOH12CR2,13.511494,13.778919,13.905694,13.73203567,24.321103,22.272074,23.2965885,0.00116,0.589444058
HAL,148.796224,24.86169567,39.75994267,71.13928744,699.3216753,741.7381807,720.529928,0.001161,0.0987318981
RCOR3,18.209892,19.435601,35.321319,24.32227067,115.478796,111.29839,113.388593,0.001177,0.214503682
IL6ST,205.7287516,179.9514546,284.0663917,223.248866,921.0903906,827.3999664,874.2451785,0.001189,0.25536185
CCAR1,1285.262375,1188.422234,1125.824535,1199.836382,435.2175793,361.0327067,398.125143,0.001198,3.013716675
RASEF,3082.564699,2725.512324,2605.304945,2804.460656,556.305447,440.9553734,498.6304102,0.001203,5.624327355
RP11-196G18.24,11.057079,11.913132,16.138038,13.036083,39.079859,37.722009,38.400934,0.001204,0.339473071
SERPING1,670.945998,114.279788,927.530496,570.9187607,5362.989585,6159.90872,5761.449153,0.001217,0.0990929097
CCNF,107.5809425,94.397494,99.178625,100.3856872,34.1593705,38.9646355,36.562003,0.001223,2.745628767
PSMA2,50.2334575,118.6307165,131.782399,100.2155243,502.1873265,533.602346,517.8948363,0.001231,0.193505548
WDR81,413.546436,449.270368,424.034728,428.9505107,257.959136,264.871178,261.415157,0.001236,1.6408785
FAM86B3P,30.0505706,29.0379124,29.6233356,29.5706062,22.5271198,21.1296196,21.8283697,0.001239,1.354686887
MIER1,49.07120767,37.957297,55.41962133,47.48270867,184.3021723,162.4199567,173.3610645,0.001243,0.273894884
ATP5F1,132.4793965,286.1786875,314.146952,244.2683453,1260.561464,1166.728189,1213.644826,0.001249,0.201268394
SGK2,112.3841915,75.42918,101.8160795,96.54315033,268.788542,265.1069705,266.9477563,0.001259,0.361655598
PFDN1,117.041403,117.950726,124.11071,119.7009463,196.329114,213.908702,205.118908,0.001262,0.583568563
SUCLA2,25.615287,27.649307,24.350783,25.87179233,182.599999,151.084539,166.842269,0.001265,0.155067373
NINJ2,34.299718,15.868325,30.905097,27.02438,114.767325,120.172733,117.470029,0.001268,0.230053404
IMP3,112.939474,101.703572,119.367927,111.336991,264.917399,238.830645,251.874022,0.001269,0.442034435
